	Xboc_CILIATED_CELLS	Xboc_EPIDERMIS	Xboc_EXCRETORY	Xboc_GLAND1	Xboc_GLAND2	Xboc_GLAND3	Xboc_GLAND4	Xboc_GUT	Xboc_MUSCLE	Xboc_MUSCLE-LIKE	Xboc_NEURON	Xboc_PHARYNGEAL	Xboc_PIGMENT	Xboc_SECRETORY_EPITHELIIUM_1	Xboc_SECRETORY_EPITHELIIUM_2	Xboc_SECRETORY_EPITHELIIUM_3	Xboc_SECRETORY_EPITHELIIUM_4	Xboc_unk1	Xboc_unk2	Xboc_unk3	Xboc_unk4	Xboc_unk5	Xboc_unk6	Xboc_unk7	Xboc_unk8	Xboc_unk9	Spur_Aboral ectoderm	Spur_Anus	Spur_Apical plate	Spur_Blastocoelar cells	Spur_Cardiac sphincter	Spur_Ciliary band	Spur_Coelomic pouches	Spur_Esophageal muscles	Spur_Esophagus	Spur_Exocrine pancreas-like	Spur_Immune cells	Spur_Intestine	Spur_Lower oral ectoderm	Spur_Neurons	Spur_Pyloric sphincter	Spur_Skeleton	Spur_Stomach (1)	Spur_Stomach (2)	Spur_Stomach (3)	Spur_Undefined	Spur_Upper oral ectoderm
Xboc_NEURON	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01634653142203422	0.050534817838616096	0.022662498134024798	0.003371378791260169	0.0006374580194950826	0.1633100119487176	0.022184822020656036	0.003926884296030988	0.061955109835615106	0.004011916349436399	0.03314866956391784	0.030912459276150828	0.01675145665567512	0.06839643695435485	0.009141841604921017	0.011918177995284421	0.05591648731387926	0.013922625560526203	0.0010535852793060294	0.2627397223052152	0.17187835109991845
Xboc_PHARYNGEAL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.128741637043545	0.023763914733209997	0.0040528847128425294	0.0	0.0019474333757646962	0.04836645113075662	0.0049228179180728915	0.012675844008468315	0.014588737103383723	0.0034636872330557253	0.05423459281608978	0.031679192214794476	0.0032213672521829045	0.0009460831873449917	0.0002990170258536635	0.0007241277084785504	0.07765468527613395	0.02749909332366412	0.0	0.2620221138438624	0.08831081537190286
Xboc_PIGMENT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36060796353505725	0.012425270575573358	0.06746516198179157	0.00201406942758663	0.002024177682763332	0.05540226902305848	0.052214053031360175	0.0016002643384401317	0.010489056008575286	0.005620542385712206	0.07873190948357066	0.01500735032758194	0.004726776140002871	0.013300750913050505	0.014756757942956358	0.03496949929932499	0.017481648310335916	0.008310627873930871	0.013143564562893917	0.29573868067314757	0.03967685436348215
Xboc_SECRETORY_EPITHELIIUM_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023189829738151655	0.0013618064000603153	0.0005413543180578204	0.05472019596755272	0.0	0.021833345816389578	0.03869730733818315	0.0	0.07125878439579716	0.0003383933768734222	0.019632269971084467	0.0016699815819090896	0.0	0.023845766639110446	0.0	0.0	0.02274791250868518	0.00034758228186024845	0.0	0.2164170573138556	0.10351232984926614
Xboc_SECRETORY_EPITHELIIUM_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0076271780085559295	0.0	0.004743042921561443	0.07924381955201941	0.0	0.018924012196699216	0.0429181100324828	0.0	0.0010895395412429515	0.0	0.007865219401213031	0.0021440021884225513	0.001702084189823773	0.04267843093798091	0.0	0.0003568142805433201	0.02046184031484695	0.00325978522810118	0.0005205473027829422	0.18442499981811517	0.029545589087527673
Xboc_SECRETORY_EPITHELIIUM_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0075505720509982084	0.0012303664651779913	0.0009823231086153383	0.06359863845168404	0.0002315689507009099	0.018941101480274423	0.06301369381002828	0.0004144094436998022	0.0014170617268741618	0.0005131445669931912	0.011554083555547153	0.001984360106472683	0.002876092513416158	0.12576710575951588	0.0	0.0005089838779257107	0.023617291848248612	0.0017813689863471378	0.0	0.3444458279298063	0.026779895183043412
Xboc_SECRETORY_EPITHELIIUM_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007718361527173524	0.004138410835180105	0.007445877611498555	0.13600558668279533	0.0	0.05940564277173895	0.11257977027532151	0.0	0.0032331949480517335	0.0005352980587348072	0.022501757671311365	0.005896166921939983	0.004060629205747581	0.07862515298776065	0.0	0.000484961528559112	0.027687294879871694	0.0005193205786016285	0.00025941512442631217	0.23099737685993063	0.06400615994788295
Xboc_unk1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038138275018512295	0.008837749960288365	0.0036638229597956568	0.010200786884621352	0.0027511748071969754	0.19677460094021865	0.014751610986821938	0.005812498964711776	0.012615497744760142	0.015244355243140304	0.012783304299107878	0.01923274764361997	0.002989185772590072	0.0004643402731652072	0.034193981588012935	0.0009956810493171315	0.023274993946157903	0.031479758204317615	0.003863792247947511	0.24144403988831636	0.2479453299003871
Xboc_unk2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007815583585189046	0.008510834599933492	0.001432086386925761	0.0008237701813842351	0.0	0.21640183255454654	0.04200343051181438	0.0	0.010579953560252816	0.0	0.015306657571921798	0.02112203361125696	0.0	0.0018728074383535804	0.0	0.0	0.009022733164913078	0.0008818253069717341	0.00140498289183923	0.19306315707949107	0.17061207585461158
Xboc_unk3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0352045866269434	0.028836538738202	0.012969375697799341	0.022313467365567274	0.019598540295586137	0.09246463900554495	0.01265544791929725	0.027316361835259435	0.02123088692985339	0.03563510186737407	0.04190920867809321	0.01679787852734788	0.0016592644596985576	0.005077812216412976	0.013851407771737476	0.001495579537116602	0.06806126103213128	0.012453086419098086	0.001318328818254184	0.3081826281586673	0.11450040050476802
