	Xboc_CILIATED_CELLS	Xboc_EPIDERMIS	Xboc_EXCRETORY	Xboc_GLAND1	Xboc_GLAND2	Xboc_GLAND3	Xboc_GLAND4	Xboc_GUT	Xboc_MUSCLE	Xboc_MUSCLE-LIKE	Xboc_NEURON	Xboc_PHARYNGEAL	Xboc_PIGMENT	Xboc_SECRETORY_EPITHELIIUM_1	Xboc_SECRETORY_EPITHELIIUM_2	Xboc_SECRETORY_EPITHELIIUM_3	Xboc_SECRETORY_EPITHELIIUM_4	Xboc_unk1	Xboc_unk2	Xboc_unk3	Xboc_unk4	Xboc_unk5	Xboc_unk6	Xboc_unk7	Xboc_unk8	Xboc_unk9	Isopu_TRP+ neurons	Isopu_chemosensory	Isopu_cilia related	Isopu_contamination	Isopu_digestive I	Isopu_digestive II	Isopu_epithelial I	Isopu_epithelial II	Isopu_muscle	Isopu_neurons	Isopu_secretory cells	Isopu_sensory neurons	Isopu_stem cells	Isopu_uncharacterized
Xboc_unk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024204059919521494	0.001321046922795375	0.0018120288843103155	0.00029749841676446033	0.029493797263396376	0.039892040981683044	0.051863265676657645	0.018381968655140947	0.03878605171322793	0.13604871033966132	0.04560476601943584	0.07450278365980481	0.07389271457070079	0.01466182094476689
Xboc_unk5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021763782091448313	0.009126954544598156	0.0025961663815757367	0.006233171046199428	0.016841449244490356	0.03464741365332709	0.051637727329505834	0.02500330275314317	0.18690078328382864	0.13906129432705125	0.1079077639183877	0.051034805551449514	0.10124275838629475	0.010774731624551188
Xboc_unk6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042295564220938095	0.0	0.009519038322530161	0.0	0.09769665212395318	0.015965453982701643	0.05325522036368034	0.002211612967783275	0.06115206446759015	0.08363230653617201	0.04899794997143934	0.016192006163730843	0.1909694148419025	0.019487543303515063
Xboc_unk7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05181542361282443	0.001853359828754474	0.03146597882755455	0.007129202351255072	0.1364987105385063	0.005163841098156549	0.09531595901669201	0.023437575347473906	0.1304492793441933	0.11153299437915735	0.03756168987829711	0.050019747889061626	0.493112652828348	0.06023850800890188
Xboc_unk8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046526233098885914	0.0011985722073315141	0.006195625181548241	0.0009673705854107931	0.07898642957536696	0.01352758132514952	0.07553455988926255	0.0004759206818408265	0.11876438607874522	0.06656075859570913	0.045509792270290686	0.02545838445118952	0.28772027629472774	0.03962914502100772
Xboc_unk9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06718214689695043	0.009342903917555937	0.058858542535782085	0.004880678289810488	0.19447059152807836	0.05798811511400816	0.010702563447200204	0.026421831421764474	0.014613520206375224	0.07602882483156496	0.05343239867654816	0.02439406496874703	0.7349594794745624	0.012787119653925783
Isopu_TRP+ neurons	0.05617575701022133	0.11618514431689239	0.11326710867155612	0.01061282690212296	0.1071071494186497	0.00985488806984728	0.011282611756969964	0.4065950095560041	0.019927756179834086	0.025055204759514376	0.1253708444803286	0.04106628830922735	0.017023110063000026	0.003388149412922357	0.004169625692476451	0.009674191630568204	0.010280328405588816	0.020770559891532703	0.04554513960303116	0.02906202234872926	0.024204059919521494	0.021763782091448313	0.042295564220938095	0.05181542361282443	0.046526233098885914	0.06718214689695043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isopu_chemosensory	0.3039785234694021	0.11364134437762767	0.004858151387492468	0.0	0.005412900795581351	0.004015473141320611	0.0	0.06478078631411566	0.001713798647019381	0.0	0.10798547016412345	0.00026760852439102015	0.0160327824057215	0.0	0.0002985863889188003	0.0	0.0015896817832947504	0.0030783413281557865	0.0	0.0032076752655200635	0.001321046922795375	0.009126954544598156	0.0	0.001853359828754474	0.0011985722073315141	0.009342903917555937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isopu_cilia related	0.3666869960259105	0.0710508016197515	0.002576490047725317	0.001425355865598776	0.0402936258893974	0.001501968819940312	0.002317205423110753	0.19633305950664406	0.020008757466111214	0.0029264368076829124	0.026733799699280386	0.0032667010422670743	0.0044586403870735996	0.0009055287209809896	0.00018182508884028914	0.012338267041011685	0.00110016167735646	0.004031626100002824	0.0055739212931513755	0.00807878496616301	0.0018120288843103155	0.0025961663815757367	0.009519038322530161	0.03146597882755455	0.006195625181548241	0.058858542535782085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isopu_contamination	0.06545087094813737	0.07303473284575242	0.0008944755968505882	0.00011983708997983325	0.025247346289590474	0.00102273547236273	0.00046471343331177633	0.17633567073213097	0.11478858835258021	0.002061690292628626	0.050393900804354505	0.0016065910549977348	0.0024306128225191756	0.0032704069621754656	0.00028854091211591735	0.006796738178737027	0.0028053482666533123	0.0020492327076227523	0.007458446712614329	0.004652054195107019	0.00029749841676446033	0.006233171046199428	0.0	0.007129202351255072	0.0009673705854107931	0.004880678289810488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
